epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.20082500576972961,4.026860237121582,0.001,0.25609999895095825,3.8657219409942627
1,0.34396249055862427,3.6631336212158203,0.001,0.30469998717308044,3.7741706371307373
2,0.4104124903678894,3.5105645656585693,0.001,0.3296999931335449,3.735154628753662
3,0.4509499967098236,3.4184563159942627,0.001,0.3321000039577484,3.720061779022217
4,0.481550008058548,3.3520195484161377,0.001,0.3237999975681305,3.765218734741211
5,0.5060874819755554,3.3017327785491943,0.001,0.328900009393692,3.7394659519195557
6,0.5266000032424927,3.261152505874634,0.001,0.3377000093460083,3.736963987350464
7,0.5436375141143799,3.2274725437164307,0.001,0.33719998598098755,3.7464101314544678
8,0.5594124794006348,3.2003676891326904,0.00020000001,0.33640000224113464,3.7775070667266846
9,0.6060624718666077,3.1172032356262207,0.0005,0.3352000117301941,3.7580554485321045
10,0.6162124872207642,3.100120782852173,0.0005,0.335999995470047,3.7848618030548096
0,0.1669750064611435,4.163086891174316,0.001,0.2459000051021576,3.9011125564575195
1,0.2732749879360199,3.9162046909332275,0.001,0.275299996137619,3.834110975265503
2,0.32491248846054077,3.805833101272583,0.001,0.3037000000476837,3.75285267829895
3,0.3570375144481659,3.7360687255859375,0.001,0.3165000081062317,3.7348999977111816
4,0.3815374970436096,3.6850578784942627,0.001,0.3264000117778778,3.7147955894470215
5,0.40031251311302185,3.6468284130096436,0.001,0.32179999351501465,3.745293378829956
6,0.4191499948501587,3.6114652156829834,0.001,0.3222000002861023,3.7774620056152344
7,0.4324375092983246,3.584523916244507,0.001,0.3312999904155731,3.71688175201416
8,0.4440374970436096,3.563699245452881,0.001,0.335999995470047,3.7238988876342773
9,0.48100000619888306,3.50217342376709,0.0005,0.3411000072956085,3.7104334831237793
10,0.4888499975204468,3.486870765686035,0.0005,0.34439998865127563,3.7108592987060547
