epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.023250000551342964,4.759914875030518,0.001,0.04280000180006027,4.5737409591674805
1,0.054999999701976776,4.519227981567383,0.001,0.06599999964237213,4.487978935241699
2,0.07175000011920929,4.435271263122559,0.001,0.07989999651908875,4.425289630889893
3,0.08107499778270721,4.38917350769043,0.001,0.08789999783039093,4.38761043548584
4,0.08962500095367432,4.3582539558410645,0.001,0.09549999982118607,4.360097885131836
5,0.096950002014637,4.332598686218262,0.001,0.10100000351667404,4.338602066040039
6,0.1035500019788742,4.312337398529053,0.001,0.1054999977350235,4.320711135864258
7,0.10824999958276749,4.296195030212402,0.001,0.11020000278949738,4.306197166442871
8,0.11379999667406082,4.282115459442139,0.001,0.11299999803304672,4.293880939483643
9,0.11744999885559082,4.270036697387695,0.0005,0.11429999768733978,4.287637233734131
10,0.11767499893903732,4.2638936042785645,0.0005,0.11599999666213989,4.281590938568115
0,0.14237500727176666,4.199974536895752,0.001,0.1876000016927719,4.055922031402588
1,0.24160000681877136,3.9144606590270996,0.001,0.23309999704360962,3.9374969005584717
2,0.2954249978065491,3.7694106101989746,0.001,0.2671000063419342,3.842820405960083
3,0.3445749878883362,3.660451650619507,0.001,0.2888000011444092,3.79665470123291
4,0.37564998865127563,3.5813629627227783,0.001,0.30329999327659607,3.766738176345825
5,0.40527498722076416,3.517521858215332,0.001,0.31040000915527344,3.7522332668304443
6,0.428725004196167,3.466826915740967,0.001,0.3147999942302704,3.7259719371795654
7,0.4440000057220459,3.428168296813965,0.001,0.3098999857902527,3.7503292560577393
8,0.46082499623298645,3.3916139602661133,0.001,0.33970001339912415,3.6921067237854004
9,0.5039499998092651,3.306671380996704,0.0005,0.349700003862381,3.671584367752075
10,0.5169000029563904,3.2817766666412354,0.0005,0.34709998965263367,3.675938367843628
0,0.14932499825954437,4.177372455596924,0.001,0.18539999425411224,4.059295177459717
1,0.2712000012397766,3.8350672721862793,0.001,0.26339998841285706,3.8534395694732666
2,0.3299750089645386,3.6988778114318848,0.001,0.27730000019073486,3.816662549972534
3,0.36422500014305115,3.6153225898742676,0.001,0.3066999912261963,3.7656776905059814
4,0.38940000534057617,3.5552799701690674,0.001,0.305400013923645,3.7484726905822754
5,0.41257500648498535,3.5039570331573486,0.001,0.2955000102519989,3.8190512657165527
6,0.43217501044273376,3.4637160301208496,0.001,0.31709998846054077,3.7571370601654053
7,0.44679999351501465,3.4321656227111816,0.001,0.3221000134944916,3.7468340396881104
8,0.4610750079154968,3.400453567504883,0.001,0.3100000023841858,3.777055501937866
9,0.505174994468689,3.3179867267608643,0.0005,0.32690000534057617,3.7332801818847656
10,0.5123249888420105,3.2979416847229004,0.0005,0.3188000023365021,3.774068832397461
